"acceleration","Attribute1","Attribute2","Attribute3","Attribute4","Attribute5","Attribute6","Attribute7","Attribute8","Attribute9","Attribute10","Attribute11","Attribute12","Attribute13","Attribute14"
8.2,"nominal1","nominal7",2435,142,"nominal9",10.3,0.624,9999,9999,225,0.958,22.6,46,2.514
8.2,"nominal1","nominal7",2922,147,"nominal9",10.6,9999,9999,9999,235,0.991,37.9,39.5,2.975
8.2,"nominal1","nominal7",1595,118,"nominal9",9.2,9999,9999,9999,207,0.92,56.1,29.6,3.733
8.2,"nominal1","nominal7",2498,120,"nominal9",10.8,9999,9999,9999,225,1.42,38.7,37.5,3.52
8.2,"nominal1","nominal7",2988,147,"nominal9",9.7,9999,9999,9999,230,0.928,33.7,38.7,3.37
8.2,"nominal2","nominal7",2997,163,"nominal9",10.2,9999,9999,9999,230,0.939,36,42.2,2.722
8.3,"nominal2","nominal8",3226,145,"nominal9",11.1,0.629,3.7,5.7,230,1.25,22.3,53.4,2.22
8.3,"nominal3","nominal7",3199,165,"nominal9",10,0.632,3.5,5.7,234,0.95,29.2,46.2,2.548
8.3,"nominal2","nominal7",3199,160,"nominal9",10.1,0.64,3.7,5.6,236,0.912,28.8,45.4,2.548
8.3,"nominal1","nominal7",2671,169,"nominal9",9.3,0.613,9999,5.9,244,0.772,18.8,54.5,2.159
8.3,"nominal1","nominal7",2962,147,"nominal9",10.7,9999,9999,9999,235,1.23,31.3,45.9,2.6
8.3,"nominal1","nominal7",1969,114,"nominal9",10.9,9999,9999,9999,211,0.96,36.7,34.3,3.172
8.3,"nominal1","nominal7",1797,124,"nominal9",9.6,9999,9999,9999,223,0.974,49.8,30.1,3.618
8.3,"nominal2","nominal7",1998,147,"nominal9",8.7,9999,9999,9999,223,0.814,50.9,42.8,2.72
8.3,"nominal3","nominal7",2771,142,"nominal9",11.4,0.679,9999,5.9,232,1.25,27.2,37.7,3.68
8.3,"nominal1","nominal7",2771,142,"nominal9",11,0.679,9999,5.8,228,3.324,6.1,11.4,1.125
8.3,"nominal2","nominal8",2926,135,"nominal9",11.9,0.68,9999,9999,225,1.28,21.1,54.7,2.136
8.3,"nominal2","nominal8",2926,135,"nominal9",12.5,0.694,9999,9999,222,1.95,19.3,50.7,2.4
8.3,"nominal1","nominal7",2962,147,"nominal9",10.4,9999,9999,9999,235,1.6,25.4,44.3,2.652
8.3,"nominal1","nominal7",2435,147,"nominal9",9999,0.669,9999,9999,220,0.787,17.9,46.6,2.484
8.3,"nominal1","nominal7",2435,147,"nominal9",9999,0.669,9999,9999,220,0.787,17.9,46.6,2.484
8.4,"nominal2","nominal7",2295,142,"nominal9",9.5,0.617,4.1,5.9,234,1.56,21.7,41.8,2.768
8.4,"nominal2","nominal7",2295,142,"nominal9",9.7,0.617,3.7,5.8,231,1.22,22.5,42.6,2.714
8.4,"nominal2","nominal7",3199,165,"nominal9",10.7,0.65,3.7,5.7,238,1.22,26.4,41.6,2.864
8.4,"nominal1","nominal7",2771,142,"nominal9",10.8,0.675,9999,6.1,236,0.976,29.1,40.3,3.68
8.4,"nominal1","nominal7",1781,110,"nominal9",11.4,0.629,9999,5.9,221,1.35,14.5,37.4,3.11
8.4,"nominal2","nominal8",2926,135,"nominal9",11.7,0.651,9999,9999,225,1.8,24.6,55.8,2.136
8.4,"nominal2","nominal8",3901,180,"nominal9",10.9,0.685,9999,9999,242,1.6,23.4,60.1,2.94
8.4,"nominal1","nominal7",2946,140,"nominal9",11.1,0.639,9999,9999,233,1.133,33.7,37.4,3.64
8.4,"nominal1","nominal7",1855,147,"nominal9",8.8,9999,9999,9999,225,0.923,29,44.3,2.611
8.4,"nominal1","nominal7",1969,114,"nominal9",12,9999,9999,9999,210,0.981,35.7,33.4,3.4
8.4,"nominal1","nominal7",1969,114,"nominal9",12,9999,9999,9999,215,1.4,35.7,33.4,3.4
8.4,"nominal1","nominal7",2492,140,"nominal9",10.6,9999,9999,9999,225,1.5,42.7,35.5,3.257
8.4,"nominal1","nominal7",1969,114,"nominal9",11.2,9999,9999,9999,216,0.983,36.7,34.3,3.172
8.4,"nominal2","nominal7",2295,142,"nominal9",10.1,0.68,4.1,5.7,230,1.35,21.7,41.9,2.768
8.4,"nominal2","nominal7",2295,142,"nominal9",10.2,0.68,3.9,6,227,1.1,22.6,42.8,2.714
8.4,"nominal3","nominal7",2671,169,"nominal9",10.2,0.679,9999,5.7,240,0.87,17.7,51.3,2.294
8.4,"nominal1","nominal7",2771,142,"nominal9",10.7,0.679,9999,6.1,234,0.984,28.6,39.6,2.919
8.4,"nominal2","nominal7",2793,142,"nominal9",10.5,0.659,9999,6,232,1.19,27,38,3.42
8.4,"nominal1","nominal7",2946,140,"nominal9",10.1,0.683,9999,9999,227,1.87,32.7,38,3.17
8.4,"nominal1","nominal7",1855,147,"nominal9",9,9999,9999,9999,225,0.923,29,44.3,2.611
8.4,"nominal3","nominal7",1994,125,"nominal10",11.7,0.901,9999,9999,198,0.957,24.7,36.9,3.286
8.5,"nominal2","nominal7",1998,120,"nominal9",10.9,0.611,3.9,6.1,220,1.44,21,39.8,2.882
8.5,"nominal3","nominal7",2771,142,"nominal9",11.4,0.675,9999,5.9,235,1.27,27.5,38.1,3.244
8.5,"nominal2","nominal7",2494,125,"nominal9",11.8,0.629,9999,9999,228,1.75,31.9,38.6,3.1
8.5,"nominal2","nominal7",2962,155,"nominal9",10.8,0.685,9999,9999,243,1.29,28.5,39.4,2.997
8.5,"nominal1","nominal7",2498,125,"nominal9",10.8,0.557,9999,9999,230,1.62,27,37.3,3.1
8.5,"nominal1","nominal7",2498,125,"nominal9",11.1,0.557,9999,9999,230,1.62,27,37.3,3.1
8.5,"nominal1","nominal7",1985,136,"nominal9",9.7,9999,9999,9999,230,1.15,21.5,39.4,2.9
8.5,"nominal1","nominal7",1985,136,"nominal9",9.7,9999,9999,9999,230,0.992,17.3,42.2,2.673
8.5,"nominal1","nominal7",1985,136,"nominal9",9.7,9999,9999,9999,230,1.15,21.5,39.4,2.9
8.5,"nominal1","nominal8",2172,85,"nominal9",16.1,9999,9999,9999,200,1.4,15.7,44.7,2.521
8.5,"nominal1","nominal7",1985,136,"nominal9",9.7,9999,9999,9999,230,1.61,21.5,39.4,2.9
8.5,"nominal1","nominal7",1948,118,"nominal9",11,9999,9999,9999,215,1.83,16,38.9,2.8
8.5,"nominal1","nominal7",2435,142,"nominal9",11.2,0.738,9999,9999,220,1.44,17,41.3,2.8
8.5,"nominal1","nominal7",2959,166,"nominal9",9.3,9999,9999,9999,237,1.138,50.4,33.6,3.446
8.5,"nominal1","nominal7",2492,140,"nominal9",9.6,0.639,9999,9999,227,0.956,51.3,37.7,3.42
8.5,"nominal2","nominal7",2967,175,"nominal9",9.3,0.726,9999,9999,226,0.69,50,48.1,2.483
8.5,"nominal2","nominal7",3253,174,"nominal9",9.8,9999,9999,9999,225,0.75,43.9,47.3,2.616
8.5,"nominal2","nominal7",3253,174,"nominal9",10.3,9999,9999,9999,225,0.75,43.9,47.3,2.616
8.5,"nominal1","nominal7",2997,147,"nominal9",9.9,9999,9999,9999,225,1.11,52.2,40.5,2.9
8.5,"nominal2","nominal7",2799,145,"nominal9",9.7,0.68,3.9,5.7,230,1.3,24.6,39.5,2.936
8.5,"nominal1","nominal7",2671,169,"nominal9",9.7,0.635,9999,6.1,242,0.766,18.8,54.5,2.159
8.5,"nominal1","nominal7",2495,125,"nominal9",11.1,0.697,9999,9999,215,0.9,36.5,38.2,2.9
8.5,"nominal2","nominal7",2962,155,"nominal9",11.1,0.726,9999,9999,235,0.995,28.5,39.4,2.997
8.5,"nominal1","nominal7",2946,140,"nominal9",10.8,0.735,9999,9999,227,1.91,32.7,37.8,3.28
8.5,"nominal1","nominal7",1948,118,"nominal9",11.2,9999,9999,9999,215,1.12,15.7,38.2,2.849
8.5,"nominal3","nominal7",2435,142,"nominal9",11.6,9999,9999,9999,220,1.19,14.5,38.9,2.975
8.5,"nominal1","nominal7",2492,140,"nominal9",10,0.639,9999,9999,227,0.938,52.3,38.4,3.42
8.5,"nominal1","nominal7",2498,120,"nominal9",11.2,9999,9999,9999,215,0.996,38.7,37.5,3.52
8.5,"nominal3","nominal7",2979,170,"nominal10",11.7,9999,9999,9999,202,9999,9999,9999,4.1
8.6,"nominal3","nominal7",3697,191,"nominal9",9,0.675,9999,6.2,250,0.773,34.9,53.9,2.294
8.6,"nominal3","nominal7",1781,110,"nominal9",12.5,0.65,9999,5.8,219,1.78,13.8,35.6,3.259
8.6,"nominal1","nominal7",2393,121,"nominal9",11.2,0.65,9999,6.1,222,0.978,27.3,37.8,3.68
8.6,"nominal2","nominal7",2494,125,"nominal9",10.3,0.686,9999,9999,225,0.856,38.2,47.8,2.397
8.6,"nominal2","nominal7",2793,142,"nominal9",12,0.663,9999,9999,228,1.67,32.3,38.9,3.2
8.6,"nominal1","nominal7",1998,108,"nominal9",10.1,0.608,9999,9999,215,1.87,36.2,33,3.339
8.6,"nominal1","nominal7",2435,125,"nominal9",11.4,0.624,9999,9999,215,0.853,41,41.3,2.8
8.6,"nominal1","nominal7",1969,114,"nominal9",11,0.639,9999,9999,216,0.983,29.1,34.3,3.371
8.6,"nominal1","nominal7",1969,114,"nominal9",11.1,0.639,9999,9999,216,0.993,31.8,34,3.371
8.6,"nominal1","nominal7",1998,113,"nominal9",11.1,9999,9999,9999,210,1.17,30.9,31.8,3.431
8.6,"nominal1","nominal7",1747,96,"nominal9",10.8,9999,9999,9999,205,1.36,30.1,31.4,3.372
8.6,"nominal1","nominal7",2497,123,"nominal9",11.5,0.61,9999,9999,220,0.993,38.8,36.9,3.26
8.6,"nominal1","nominal7",1781,110,"nominal9",11.8,0.653,9999,6,217,1.17,14.5,37.4,3.11
8.6,"nominal1","nominal7",2393,121,"nominal9",11.2,0.632,9999,6.1,222,0.978,27.3,37.8,3.68
8.6,"nominal1","nominal7",1998,113,"nominal9",11.6,9999,9999,9999,210,1.17,30.9,31.8,3.431
8.7,"nominal1","nominal7",1587,87,"nominal9",10.4,0.604,9999,9999,205,1.14,39.6,30.6,3.349
8.7,"nominal1","nominal7",1998,120,"nominal9",9.9,0.617,9999,9999,220,1.24,46.3,33.1,3.295
8.7,"nominal1","nominal7",1998,108,"nominal9",11,0.563,9999,9999,215,1.85,36.3,33,3.333
8.7,"nominal1","nominal7",1998,108,"nominal9",11,0.563,9999,9999,215,1.85,36.3,33,3.333
8.7,"nominal1","nominal7",2290,125,"nominal9",12.2,9999,9999,9999,225,0.924,15.6,44.3,2.673
8.7,"nominal1","nominal7",2446,129,"nominal9",11,9999,9999,9999,218,1.7,32,35.5,3.3
8.7,"nominal1","nominal7",1794,105,"nominal9",10.5,9999,9999,9999,205,0.888,34.7,36.1,3.126
8.7,"nominal2","nominal7",2799,145,"nominal9",9.9,0.68,3.9,5.9,226,0.855,28.9,45.6,2.548
8.7,"nominal2","nominal7",3199,165,"nominal9",10,0.745,3.9,5.9,230,0.89,29.2,46.2,2.548
8.7,"nominal3","nominal7",1781,110,"nominal9",12.8,0.653,9999,5.9,215,1.59,13.8,35.6,3.259
8.7,"nominal1","nominal7",2290,125,"nominal9",12.1,9999,9999,9999,225,0.924,15.6,44.3,2.673
8.7,"nominal3","nominal7",2435,142,"nominal9",11.5,0.687,9999,9999,215,1.84,14.5,38.9,2.975
8.8,"nominal1","nominal7",1898,92,"nominal9",11.7,0.736,4.2,5.8,198,1.1,36.2,35.6,3.88
8.8,"nominal1","nominal7",1898,92,"nominal9",11.7,0.736,4.2,5.8,198,1.1,36.2,35.6,3.88
8.8,"nominal2","nominal7",2295,142,"nominal9",10.9,0.64,4.1,5.9,230,1.38,21.7,41.8,2.768
8.8,"nominal2","nominal8",3226,145,"nominal9",12.6,0.621,4,6.1,230,0.974,23.4,56.2,2.2
8.8,"nominal1","nominal8",2496,132,"nominal9",11.9,0.698,9999,9999,221,1.57,15.9,52.3,2.214
8.8,"nominal3","nominal8",2496,132,"nominal9",12.5,0.698,9999,9999,223,1.51,11.9,53,2.182
8.8,"nominal1","nominal8",2496,132,"nominal9",12.3,0.675,9999,9999,227,1.33,12.8,54.9,2.3
8.8,"nominal2","nominal7",2793,142,"nominal9",10.8,0.651,9999,9999,235,0.815,37,52.4,2.272
8.8,"nominal1","nominal7",1998,120,"nominal9",10.1,0.684,9999,9999,218,0.992,50.6,33.8,3.223
8.8,"nominal1","nominal7",1985,113,"nominal9",11.6,9999,9999,9999,210,0.95,29.6,42.2,2.673
8.8,"nominal1","nominal7",1985,113,"nominal9",11.6,9999,9999,9999,210,0.95,29.6,42.2,2.673
8.8,"nominal1","nominal7",2497,129,"nominal9",11.2,0.609,9999,9999,220,9999,9999,9999,3.191
8.8,"nominal2","nominal8",3226,145,"nominal9",11.8,0.726,4.1,6.2,227,1.12,22.3,53.4,2.22
8.8,"nominal1","nominal7",1969,114,"nominal9",11.4,0.639,9999,9999,216,0.973,32.4,34.7,3.371
8.8,"nominal1","nominal7",1969,114,"nominal9",11.4,0.639,9999,9999,216,0.983,29.1,34.3,3.371
8.8,"nominal1","nominal7",1797,124,"nominal9",10,9999,9999,9999,215,0.939,49.8,30.1,3.618
8.8,"nominal3","nominal7",2979,170,"nominal10",11.9,9999,9999,9999,202,9999,9999,9999,3.75
8.9,"nominal2","nominal7",2799,150,"nominal9",10.3,0.651,4,5.8,230,0.883,25.8,45.7,2.573
8.9,"nominal2","nominal8",2685,125,"nominal9",12.2,9999,9999,9999,230,0.97,15,56.4,2.1
8.9,"nominal2","nominal8",2497,120,"nominal9",13.1,0.651,9999,9999,219,1.221,17.1,44.8,2.6
8.9,"nominal2","nominal7",1991,110,"nominal9",11.5,0.769,9999,9999,210,1.61,27.8,33.5,3.5
8.9,"nominal1","nominal7",1781,110,"nominal9",11.7,0.656,9999,9999,217,1.28,16.5,37,3.95
8.9,"nominal1","nominal7",1781,110,"nominal9",11.9,0.581,9999,6.1,223,1.45,15.7,37.4,3.11
8.9,"nominal1","nominal7",2324,110,"nominal9",12.1,0.581,9999,6.4,223,1.46,27.3,35.5,3.267
8.9,"nominal1","nominal7",1997,99,"nominal9",10.6,0.653,9999,9999,210,0.765,33.5,45.8,2.339
8.9,"nominal1","nominal7",2922,147,"nominal9",10.8,9999,9999,9999,225,0.929,40.8,40.3,2.915
8.9,"nominal1","nominal7",1747,96,"nominal9",11,9999,9999,9999,200,0.982,33.6,32.3,3.4
8.9,"nominal1","nominal7",1998,113,"nominal9",11.2,9999,9999,9999,212,0.964,34,32.8,3.274
8.9,"nominal1","nominal7",2446,129,"nominal9",11.2,9999,9999,9999,212,0.989,31.7,35.1,3.3
8.9,"nominal1","nominal7",2972,138,"nominal9",12.2,9999,9999,9999,225,0.772,37.5,48.6,2.436
8.9,"nominal2","nominal7",2494,125,"nominal9",12.6,0.673,9999,9999,224,1.14,30.7,36.9,3.2
8.9,"nominal2","nominal8",2926,135,"nominal9",12.6,0.694,9999,9999,222,0.995,24.6,55.8,2.136
8.9,"nominal1","nominal7",2946,140,"nominal9",11.5,0.741,9999,9999,228,1.18,33.7,37.4,3.64
8.9,"nominal3","nominal7",2435,142,"nominal9",11.4,9999,9999,9999,210,0.894,22.6,46,2.514
8.9,"nominal1","nominal7",2446,129,"nominal9",11.8,9999,9999,9999,212,0.989,31.7,35.1,3.3
8.9,"nominal3","nominal7",4266,200,"nominal10",10.5,1061,4.2,6.3,210,0.776,32.7,47.1,2.875
9,"nominal2","nominal8",2688,125,"nominal9",12.6,0.629,3.9,6.6,225,0.99,14.2,54.1,2.173
9,"nominal1","nominal8",2496,110,"nominal9",12.6,0.629,9999,6.4,220,1.3,12.8,53.4,2.174
9,"nominal2","nominal7",2494,125,"nominal9",11.3,0.594,9999,9999,230,0.823,36,50.8,2.278
9,"nominal2","nominal7",2494,125,"nominal9",11.3,0.597,9999,6.5,228,0.813,36.1,51,2.278
9,"nominal1","nominal7",1998,100,"nominal9",12,0.629,9999,9999,208,1.14,28.4,33.6,3.329
9,"nominal1","nominal7",1998,100,"nominal9",11.8,0.609,9999,9999,208,1.14,28.4,33.6,3.329
9,"nominal1","nominal7",1998,100,"nominal9",12.1,0.589,9999,9999,208,0.885,29.5,41.9,2.768
9,"nominal1","nominal7",1948,118,"nominal9",11,9999,9999,9999,210,1.64,19,38.7,2.815
9,"nominal1","nominal7",2435,142,"nominal9",11.3,0.738,9999,9999,210,1.398,14.4,29.5,3.928
9,"nominal1","nominal7",2435,125,"nominal9",11.9,9999,9999,9999,220,0.97,40.8,39.8,2.975
9,"nominal1","nominal7",2157,136,"nominal9",9.6,9999,9999,9999,223,0.927,47.1,34.4,3.125
9,"nominal3","nominal7",2457,115,"nominal9",12.1,9999,9999,9999,208,1.19,30.7,36.5,3.71
9,"nominal1","nominal7",1998,98,"nominal9",12.1,9999,9999,9999,195,0.834,20.8,43.3,2.517
9,"nominal1","nominal7",1975,102,"nominal9",11.5,0.693,9999,9999,202,0.946,41.8,35.6,3
9,"nominal1","nominal7",1834,99,"nominal9",10.9,9999,9999,9999,203,0.825,48.1,37.9,2.797
9,"nominal1","nominal8",2496,132,"nominal9",12.3,0.723,9999,9999,219,1.47,15.9,52.3,2.214
9,"nominal3","nominal8",2496,132,"nominal9",12.9,0.723,9999,9999,221,1.42,11.9,53,2.182
9,"nominal1","nominal7",1948,118,"nominal9",11.2,9999,9999,9999,210,1.64,19,38.7,2.815
9,"nominal1","nominal7",1998,98,"nominal9",12.7,9999,9999,9999,185,0.791,20.8,43.3,2.517
9,"nominal1","nominal7",1975,102,"nominal9",11.9,0.744,9999,9999,201,0.941,41.8,35.6,3
9.1,"nominal2","nominal7",2799,150,"nominal9",10.4,0.651,4,6.2,230,0.982,26,41.1,2.864
9.1,"nominal2","nominal7",2295,142,"nominal9",11.1,0.64,4.2,6.5,227,1.4,22.5,42.6,2.714
9.1,"nominal2","nominal8",2685,125,"nominal9",12.4,9999,9999,9999,225,1.19,21.9,52.5,2.22
9.1,"nominal2","nominal8",2497,120,"nominal9",13.2,0.651,9999,9999,219,1.93,22,50.1,2.363
9.1,"nominal1","nominal7",2324,110,"nominal9",11.8,0.633,9999,6.4,216,1.3,28.5,35,3.3
9.1,"nominal1","nominal7",2435,121,"nominal9",12.4,0.639,9999,9999,220,0.758,50.7,48.4,2.41
9.1,"nominal1","nominal7",1747,106,"nominal9",11.4,9999,9999,9999,207,1.32,26.1,30.8,3.531
9.1,"nominal1","nominal7",2351,110,"nominal9",12,9999,9999,9999,215,1.58,29.6,36.9,3.52
9.1,"nominal1","nominal7",1781,110,"nominal9",12.2,0.688,9999,6.3,217,1.17,15.7,37.4,3.11
9.1,"nominal1","nominal7",2324,110,"nominal9",12.6,0.645,9999,6.6,217,0.798,27.3,45.3,2.563
9.1,"nominal1","nominal7",2946,140,"nominal9",10.5,0.693,9999,9999,220,1.297,48.6,29.5,3.886
9.1,"nominal3","nominal7",2435,142,"nominal9",11.6,0.687,9999,9999,205,0.873,22.6,46,2.514
9.2,"nominal2","nominal7",2597,125,"nominal9",11.7,9999,9999,9999,235,1.73,33.7,39.8,2.96
9.2,"nominal1","nominal7",2393,121,"nominal9",12,0.613,9999,6.5,222,1.11,27.3,36.6,3.162
9.2,"nominal1","nominal7",1781,110,"nominal9",10.9,0.639,9999,6.6,214,1.64,16.9,35.3,3.289
9.2,"nominal2","nominal8",2926,135,"nominal9",13.6,0.663,9999,9999,220,1.8,22.8,50.9,2.464
9.2,"nominal1","nominal7",2324,110,"nominal9",11.8,0.654,9999,9999,216,1.27,28.5,35.1,3.31
9.2,"nominal1","nominal7",1747,96,"nominal9",12.3,9999,9999,9999,205,0.986,34.3,33,3.4
9.2,"nominal1","nominal7",1998,114,"nominal9",12.6,9999,9999,9999,212,1.11,31,32.3,3.598
9.2,"nominal2","nominal7",1795,88,"nominal9",12,0.648,9999,9999,193,9999,34.9,9999,9999
9.2,"nominal2","nominal7",1795,88,"nominal9",12,0.648,9999,9999,193,0.728,34.9,48.2,3.12
9.2,"nominal1","nominal7",1997,98,"nominal9",12.4,9999,9999,9999,201,1.13,40.2,33.6,3.357
9.2,"nominal1","nominal7",1975,102,"nominal9",11.5,0.677,9999,9999,200,0.998,41.4,33.4,3.216
9.2,"nominal3","nominal7",3199,165,"nominal9",10.5,0.707,3.8,6.1,225,0.87,29.2,46.2,2.548
9.2,"nominal1","nominal8",2496,110,"nominal9",13,0.653,9999,6.5,216,1.11,12.8,53.4,2.174
9.2,"nominal5","nominal7",3494,158,"nominal10",12.3,9999,9999,9999,180,0.717,35.1,46.5,2.952
9.3,"nominal2","nominal8",2688,125,"nominal9",12.8,0.629,3.7,6.2,220,1.44,20.9,50.2,2.343
9.3,"nominal2","nominal7",1998,120,"nominal9",11.8,9999,9999,9999,230,1.86,18.8,39.9,2.96
9.3,"nominal3","nominal7",2771,142,"nominal9",10.5,0.65,9999,6.6,233,0.777,32.4,50,2.294
9.3,"nominal3","nominal7",2393,121,"nominal9",12.9,0.613,9999,6.4,220,1.28,25.7,35.7,3.244
9.3,"nominal1","nominal8",2496,132,"nominal9",12.6,0.675,9999,9999,225,1.79,15.8,52.1,2.372
9.3,"nominal1","nominal7",1998,108,"nominal9",13.5,0.639,9999,9999,215,1.144,21.5,35.4,3.233
9.3,"nominal1","nominal7",1747,106,"nominal9",12.7,9999,9999,9999,205,0.987,27.1,31.9,3.529
9.3,"nominal1","nominal7",1747,106,"nominal9",11.6,9999,9999,9999,209,0.995,27.4,32.3,3.4
9.3,"nominal1","nominal7",1747,106,"nominal9",11.8,0.639,9999,9999,210,0.977,27.2,33.1,3.431
9.3,"nominal1","nominal7",1795,86,"nominal9",13.4,9999,9999,9999,193,0.96,24.3,36.5,3.13
9.3,"nominal1","nominal7",1795,86,"nominal9",13.4,9999,9999,9999,193,0.96,24.3,36.5,3.13
9.3,"nominal1","nominal7",3474,153,"nominal9",11.3,9999,9999,9999,215,0.758,42.8,54.6,2.156
9.3,"nominal1","nominal7",1998,94,"nominal9",13.2,0.532,9999,9999,205,1.89,38.3,34.8,3.234
9.3,"nominal1","nominal7",1998,94,"nominal9",13.5,0.532,9999,9999,205,1.89,38.3,34.8,3.234
9.3,"nominal1","nominal7",2494,118,"nominal9",11.3,9999,9999,9999,205,0.8,40.1,42.7,2.684
9.3,"nominal2","nominal7",2793,142,"nominal9",11.6,0.673,9999,9999,229,0.794,37,52.4,2.272
9.3,"nominal3","nominal7",2457,115,"nominal9",12.8,9999,9999,9999,203,0.994,30.7,36.5,3.71
9.3,"nominal3","nominal7",1994,125,"nominal10",11.9,0.901,9999,9999,189,0.793,33.9,42.6,2.852
9.4,"nominal3","nominal7",2799,150,"nominal9",11,0.632,4.2,6.5,223,0.952,26,41.1,2.864
9.4,"nominal3","nominal8",2496,110,"nominal9",13.6,0.65,9999,6.3,216,1.15,12.8,53.2,2.182
9.4,"nominal1","nominal7",1998,114,"nominal9",12.6,9999,9999,9999,212,0.812,34.3,40.2,2.9
9.4,"nominal3","nominal7",1994,92,"nominal9",12.8,0.663,9999,9999,191,0.974,29.4,35,3.218
9.4,"nominal3","nominal7",1994,92,"nominal9",12.8,0.663,9999,9999,191,1.27,29.4,33.2,3.393
9.4,"nominal1","nominal7",2393,121,"nominal9",12.4,0.657,9999,6.7,220,1.2,27.3,36.6,3.162
9.4,"nominal2","nominal8",2497,120,"nominal9",14,0.694,9999,9999,215,1.191,17.2,45.1,2.6
9.4,"nominal1","nominal7",2324,110,"nominal9",12.4,0.678,9999,6.6,216,1.3,28.5,35,3.3
9.4,"nominal5","nominal7",3954,130,"nominal10",11.5,9999,9999,9999,174,0.714,38.3,53,2.425
9.5,"nominal2","nominal7",2799,150,"nominal9",11.6,0.65,4.2,6.3,232,1.63,23.8,38.3,3.112
9.5,"nominal2","nominal7",2799,150,"nominal9",11.7,0.65,4.2,6.5,228,1.23,24.8,39.1,3.46
9.5,"nominal2","nominal7",2597,125,"nominal9",11.9,9999,9999,9999,232,1.47,38.3,40.3,2.872
9.5,"nominal1","nominal7",1781,110,"nominal9",12.8,0.613,9999,6.6,217,1.2,14.5,37.3,3.11
9.5,"nominal2","nominal7",2498,125,"nominal9",13.4,0.685,9999,9999,228,1.64,24.6,35.7,3.315
9.5,"nominal2","nominal7",2962,155,"nominal9",10.9,0.685,9999,9999,238,0.948,42.9,41.8,2.8
9.5,"nominal1","nominal7",2498,125,"nominal9",11.1,0.557,9999,9999,227,0.947,36,41.3,2.8
9.5,"nominal1","nominal7",2498,125,"nominal9",11.2,0.557,9999,9999,227,0.947,36,41.3,2.8
9.5,"nominal1","nominal7",1998,84,"nominal9",12.4,0.627,9999,9999,200,1.49,35.8,35.3,3.1
9.5,"nominal1","nominal7",2492,140,"nominal9",10.9,9999,9999,9999,220,1.9,48.1,32,3.613
9.5,"nominal1","nominal8",2387,100,"nominal9",13.5,0.639,9999,9999,203,1.84,18.8,46.8,2.423
9.5,"nominal1","nominal7",2497,129,"nominal9",11.3,0.609,9999,9999,215,9999,9999,9999,9999
9.5,"nominal1","nominal7",1588,80,"nominal9",12.9,9999,9999,9999,188,0.944,37.3,33.2,3.215
9.5,"nominal1","nominal7",1795,86,"nominal9",12.3,9999,9999,9999,185,0.979,22.8,34.4,3.15
9.5,"nominal1","nominal7",1997,110,"nominal9",11.5,9999,9999,9999,203,0.772,31.9,40.5,2.665
9.5,"nominal1","nominal7",1997,110,"nominal9",11.5,9999,9999,9999,203,0.772,31.9,40.5,2.665
9.5,"nominal1","nominal7",1997,104,"nominal9",12.7,9999,9999,9999,217,1.69,24.6,33.8,3.388
9.5,"nominal2","nominal7",1988,114,"nominal9",11.9,9999,9999,9999,215,1.18,35.2,34.1,3.397
9.5,"nominal2","nominal7",1988,114,"nominal9",11.9,9999,9999,9999,215,1.28,34.8,33.7,3.397
9.5,"nominal2","nominal7",2398,125,"nominal9",11.2,0.68,4.4,6.5,216,0.926,24.6,39.5,2.936
9.5,"nominal2","nominal8",2688,125,"nominal9",13.4,0.723,4.2,7,215,0.946,14.2,54.1,2.173
9.5,"nominal2","nominal7",2799,150,"nominal9",10.9,0.726,4.3,6.5,225,0.863,25.8,45.7,2.573
9.5,"nominal2","nominal7",2799,150,"nominal9",11,0.726,4.3,6.6,223,0.952,26,41.1,2.864
9.5,"nominal3","nominal7",2771,142,"nominal9",10.7,0.653,9999,6.7,229,0.764,32.4,50,2.294
9.5,"nominal3","nominal7",2393,121,"nominal9",13.3,0.657,9999,6.6,218,1.18,25.7,35.7,3.244
9.5,"nominal3","nominal8",2496,132,"nominal9",13.6,9999,9999,9999,207,9999,9999,9999,2.625
9.5,"nominal1","nominal7",1998,100,"nominal9",12.2,0.645,9999,9999,203,1.78,28.4,33.6,3.329
9.5,"nominal1","nominal7",2351,110,"nominal9",12.5,9999,9999,9999,205,1.9,29.6,36.9,3.52
9.5,"nominal3","nominal7",2457,115,"nominal9",13.1,9999,9999,9999,197,0.938,31.6,37.5,3.237
9.5,"nominal1","nominal7",1998,94,"nominal9",13.6,0.589,9999,9999,200,1.63,38.3,34.8,3.234
9.6,"nominal1","nominal7",1781,110,"nominal9",11.8,0.65,9999,6.8,214,0.79,16.8,47.5,2.443
9.6,"nominal3","nominal7",1781,110,"nominal9",13.7,0.613,9999,6.5,216,1.67,13.8,35.5,3.259
9.6,"nominal2","nominal7",2793,142,"nominal9",12.2,0.663,9999,9999,226,0.782,37.1,52.5,2.4
9.6,"nominal2","nominal7",2793,142,"nominal9",12.4,0.663,9999,9999,226,0.782,37.1,52.5,2.4
9.6,"nominal1","nominal7",2946,140,"nominal9",10.7,0.707,9999,9999,225,0.961,45.2,42.6,2.691
9.6,"nominal1","nominal7",2435,125,"nominal9",11.5,0.624,9999,9999,210,0.739,47.7,46.6,2.484
